"airport_name","airport_id"
"Aeroclube","1712401150367039490"
"Aeroclube De Alagoas","1712401149662396417"
"Aeroclube de Bento Gonçalves","1712401156645912578"
"Aeroclube De Birigui","1712401141827436545"
"Aeroclube De Itapolis","1712401133300416514"
"Aeroclube de Santa Catarina","1712402380254412802"
"Aérodrome de Sistéron-Vaumeilh","1712402443005394946"
"Aérodrome de Tarbes Laloubère","1712401086710087682"
"Aérodrome de Vinon","1712402444867665922"
"Aerodrome Les Noyers","1712401809455775746"
"Aerodromo Nacional De Aviacao","1712402369886093313"
"Aeroflex/Andover","1712401424045375490"
"Aerogrange","1712401904729391107"
"Aerostone Ranch","1712401723438989313"
"Aerovilla","1712402037839822849"
"Afonso Pena International Airport","1712402368137068545"
"Afranio Airport","1712401153470824450"
"Afton Mun","1712401406093754370"
"Afutara Aerodrome","1712400988882141185"
"Ag Aviation","1712402252516884482"
"Ag Spray Inc","1712401452189155330"
"Agades Airport","1712402545640013826"
"Agadir–Al Massira Airport","1712402531878502402"
"Agape Farm","1712402068852506625"
"Agartala Airport","1712402467563044866"
"Agatti Island Airport","1712402467625959425"
"Agen La Garenne Airport","1712402430493786113"
"Aggeneys","1712402587612413953"
"Aghajari","1712402487070752769"
"Agner","1712402015597428738"
"Agostinho Neto","1712401069588938753"
"Agra Airport","1712402467693068289"
"Agri Airport","1712402814117412866"
"Agro-West","1712401683253362690"
"Agrovale","1712401147187757057"
"água Branca Airport","1712401139814170625"
"Agua Caliente","1712401406609653763"
"Agua Dulce Airpark","1712401406735482882"
"Agualeguas","1712401102631665665"
"Aguas Claras","1712402405764169730"
"Aguenar – Hadj Bey Akhamok Airport","1712402320443637762"
"Aguni","1712402500182147073"
"Ahe Airport","1712402445320650754"
"Ahlem Farms","1712401776828284930"
"Ahlers Acres","1712401688391385090"
"Ahmosuo","1712401031223640066"
"Ahrenlohe","1712401025733296130"
"Ahuas","1712401101469843457"
"Ahwaz Airport","1712402487133667329"
"Aiken Field","1712402187974934529"
"Aiken Mun","1712401407129747457"
"Aileron Orchards","1712401628572221441"
"Ain El Beida Airport","1712402320183590914"
"Ainsworth","1712401569302511617"
"Ainsworth Regl","1712401407331074050"
"Aiome","1712400991201591298"
"Aioun El Atrouss","1712402523305345026"
"Air Acres","1712402280409006082"
"Air Castle","1712402027379228674"
"Air Cover","1712401696524140545"
"Air Dusters Inc","1712402097755455490"
"Air Estates Inc","1712401968948379650"
"Air Harbor","1712401737502490625"
"Air Haven","1712401959821574146"
"Air Park Field","1712402279503036418"
"Air Park North","1712401409445003266"
"Air Park-Dallas","1712401609874014209"
"Air Port Hudson","1712401980629516290"
"Air Rahe","1712402040423514114"
"Air Troy Estates - Restricted","1712401642711220225"
"Airbatco Field","1712401968365371393"
"Airdrie","1712402290005573633"
"Aire Parque","1712401680657088514"
"Aire Sur L Adour","1712402430619615234"
"Airglades","1712401570212675586"
"Airglades Airport","1712402844073132053"
"Airhaven","1712402165602516993"
"Airkat Airpark","1712401747463962625"
"Airlake","1712401943329570818"
"Airlane Enterprises","1712401566630739970"
"Airlie","1712400977930813442"
"Airman Acres","1712401578630643714"
"Airnautique, Inc.","1712401758868275201"
"Airpark East","1712401609941123074"
"Airway","1712401994718183426"
"Airwolfe","1712402174267949058"
"Airy-Acres","1712401801780199426"
"Aishalton","1712401168087973890"
"Aitape","1712400991012847617"
"Aitkin Mun Kurtz","1712401407393988610"
"Aitutaki Airport","1712402408679211010"
"Aiyura","1712400991465832449"
"Aizawl Airport","1712402467814703105"
"Aizwal","1712402467814703106"
"Ajaccio Napoleon Bonaparte Airport","1712402430749638658"
"Ajax","1712401586767593474"
"Ajc","1712401735216594946"
"Ak Chin Community Airfield","1712401905765384194"
"AK-10 Airstrip","1712402269365403650"
"Ak-Chin Regional","1712401905568251905"
"Aketi","1712401062580256769"
"Akhiok Airport","1712401407582732289"
"Akiachak","1712401407649841154"
"Akiak Airport","1712401407712755713"
"Akin","1712402049676148738"
"Akin and Akin","1712401919568838658"
"Akita Airport","1712402500245061633"
"Akjoujt","1712401068678774787"
"Aklavik Airport","1712401011426525186"
"Akm Airfield","1712401583688974337"
"Aknux","1712402069641035778"
"Akola","1712402467877617666"
"Akpaka","1712401023124439043"
"Akron","1712401407901499393"
"Akron Fulton Intl","1712401407771475970"
"Akron-Canton  Airport","1712401407838584834"
"Akroville","1712402147017555970"
"Aktau Airport","1712402507052417026"
"Aktion Airport","1712402461670047746"
"Aktobe Airport","1712402507052417027"
"Akulivik Airport","1712401011619463170"
"Akure Airport","1712402546092998658"
"Akutan","1712401408157351938"
"Akwa Ibom International Airport","1712402547586170881"
"Al Abraq International Airport","1712402514111430658"
"Al Ain Airport","1712402822019481602"
"Al Alamain Intl","1712402422352642049"
"Al Badie","1712402840155652098"
"Al Bateen Executive","1712402821952372738"
"Al Divine","1712401536872153089"
"Al Ghaidah Intl","1712402840025628675"
"Al Iskandarariyah","1712402492208775169"
"Al Jazeirah","1712401116623863810"
"Al Khor","1712402570902306818"
"Al Maktoum International Airport","1712402822405357569"
"Al Meyers","1712402191334572034"
"Al Najaf International Airport","1712402492275884034"
"Al Saqr Field","1712401116753887234"
"Al Taji Airfield","1712401119207555073"
"Al Taqaddum","1712402492342992897"
"Al's Airway","1712402244237328386"
"Al's Due North","1712401992969158657"
"Al's Field","1712401726488248322"
"Al-Aqiq Airport","1712402581299986433"
"Al-Bough","1712401119337578498"
"Al-Hazm","1712401119727648770"
"Ala Doble","1712401663963758594"
"Alabat","1712401125016666114"
"Alagoinhas","1712401136588750849"
"Alahsa Airport","1712402582277259266"
"Alakanuk Airport","1712401408547422209"
"Alamo Landing Field","1712401408677445634"
"Alamogordo-White Sands Rgnl","1712401408929103874"
"Álamos","1712402524542664705"
"Alamosa Outpost","1712401409063321602"
