"airport_name","icao_code"
"Brookline","NH16"
"Brookline - Meadowmere","9GA6"
"Brooklyn","0VI1"
"Brookneal/Campbell County","0V4"
"Brooks","KRMY"
"Brooks County","KBKS"
"Brooks Field","73KY"
"Brooks Field","8NC6"
"Brooks Regional","CYBP"
"Brooksville - Tampa Bay Regional","KBKV"
"Broome International Airport","YBRM"
"Brooten Municipal/John O. Bohmer Field","6D1"
"Brosius Field","9NE8"
"Brotas De Macaubas","SNKO"
"Brough","EGNB"
"Brown Airstrip","OK81"
"Brown Co","KGEO"
"Brown Field","3SD3"
"Brown Field","46NC"
"Brown Field","54MU"
"Brown Field","9GA0"
"Brown Mun","KSDM"
"Brown STOLport","6NC4"
"Brown's Cape Horn","4WA1"
"Brown's Homestead","95AK"
"Browns","MS33"
"Browns","NE69"
"Browns Landing","32MS"
"Brownsberger","MO75"
"Brownsville Airpark","2CL1"
"Brownsville/South Padre Island International Airport","KBRO"
"Brownwood Regl","KBWD"
"Broxton Bridge Plantation","SC55"
"Bruce Beard","52LA"
"Bruce Field","E30"
"Bruce Meadows","U63"
"Bruch Airfield","SD35"
"Bruch Ranch","SD24"
"Brunei International Airport","WBSB"
"Bruner","8TS3"
"Brunette Downs","YBRU"
"Brunswick Executive","KBXM"
"Brunswick Golden Isles Airport","KBQK"
"Brus Laguna","MHBL"
"Brush Creek","8IN7"
"Brush Municipal","7V5"
"Brush Prairie Aerodrome","5WA9"
"Brushy Creek","69XS"
"Brushy Fork Field","20KT"
"Brussels National Airport","EBBR"
"Brussels South Charleroi Airport","EBCI"
"Brustem","EBST"
"Brutlag Farms","92MN"
"Bryan","KSTF"
"Bryan","WN87"
"Bryant Field","O57"
"Bryce Canyon","KBCE"
"Bryn","ND09"
"Bua Airport","WAFD"
"Buariki","NGUK"
"Bubaque","GGBU"
"Bubung Airport","WAMW"
"Buchan","X36"
"Buchanan","56FL"
"BUCHANAN","GLBU"
"Buchanan Field Airport","KCCR"
"Buchholz Farm","9WI3"
"Buchmiller","7ND5"
"Buck Creek","AK98"
"Buck Creek Ranch","4TN2"
"Buck Hollar","95VA"
"Buck Knob","WI74"
"Buck Mountain","18AR"
"Bucker Field","TE39"
"Bucker Field","TE74"
"Buckeye Executive","9OA5"
"Buckeye Mun","KBXK"
"Buckhorn Ranch","0CO2"
"Buckingham Field","FL59"
"Buckland Airport","PABL"
"Buckle L Ranch East","TX12"
"Bucklin","8K0"
"Bucks","00N"
"Bucks","40OH"
"Buckshot Ranch","7XA4"
"Bucky's Airpark","WN09"
"Bud Pierce Memorial","84IL"
"Buddys Ag Service","9FD9"
"Budel","EHBD"
"Budiarto","WIRR"
"Budrione","LIDU"
"Buds Landing","10WI"
"Buehler","1KS8"
"Buehler","54OH"
"Buehlhof","EDGI"
"Buell","II03"
"Buena","WA97"
"Buena Terra","33KS"
"Buena Vista Farm","OA12"
"Buenaventura Airport","SKBU"
"Buenos Aires De Osa","MRBA"
"Buesum","EDXB"
"Buffalo","1E7"
"Buffalo","7CO3"
"Buffalo Airfield","9G0"
"Buffalo Chips Airpark","TE45"
"Buffalo Creek","4NC8"
"Buffalo Lancaster Rgnl","KBQR"
"Buffalo Mun","KBFK"
"Buffalo Mun","KCFE"
"Buffalo Municipal","H17"
"Buffalo Narrows","CYVT"
"Buffalo Niagara International Airport","KBUF"
"Buffalo Range","FVCZ"
"Buffalo Ridge","8VG4"
"Bufords Field","8TA8"
"Bugs","PA68"
"Bugtown","15IN"
"Bugulma Airport","UWKB"
"Buhl","LFGT"
"Buhl Municipal","U03"
"Buie Field","9NR8"
"Bujumbura International Airport","HBBA"
"Buka Airport","AYBK"
"Bukena","FZRE"
"Bukhara International Airport","UTSB"
"Bukoba Airport","HTBU"
"Bulagtai Resort","ZMBR"
"Bulan Natl","RPUU"
"Bulawayo Airport","FVJN"
"Bulgan","ZMBN"
"Bulgan Sum","ZMBS"
"Buli","WAEM"
"Bulimba","YBWM"
"Bull Farm","VG33"
"Bull Run","8TN9"
"Bulldog Ranch","2WI9"
"Bullfrog Basin","U07"
"Bulljump","11MA"
"Bullwhacker","BW8"
"Bully Henry","2AR0"
"Bulolo","AYBU"
"Bult Field","C56"
"Bultfontein","FABU"
"Bulverde Airpark","1TT8"
"Bumba","FZFU"
"Bunbury","YBUN"
"Bunch Grass Intergalactic","WY15"
"Bundaberg Airport","YBUD"
"Bundi Airport","AYDI"
"Bunge","ESVB"
"Bunia Airport","FZKA"
"Bunkie Flying Service","2LA4"
"Bunkie Municipal","2R6"
"Bunting's Field","4MD1"
"Bunyu","WALV"
"Buochs","LSZC"
"Buol Airport","WAMY"
"Buraimi","OOBR"
"Burao","HCMV"
"Bureta","NFNB"
"Burg Feuerstein","EDQE"
"Burg Lake Aero","30TX"
"Burgas Airport","LBBG"
"Burger's Valley","58KS"
"Burgess Field","8MD6"
"Burgos Airport","LEBG"
"Burhans Memorial","3MD0"
"Buri Ram Airport","VTUO"
"Buritirama","SNTQ"
"Burk Personal Use","34II"
"Burke Co","KBXG"
"Burke Field","1SD1"
"Burkeen Field","TN70"
"Burkes Garden","VA07"
"Burketown Airport","YBKT"
"Burkett Ranch/Jackson Pasture","TT40"
"Burley Mun","KBYI"
"Burlington Airport","KBRL"
"Burlington Executive","CZBA"
"Burlington International Airport","KBTV"
"Burlington Mun","KBUU"
"Burlington-Alamance Rgnl","KBUY"
"Burner","VG55"
"Burnet Municipal Airport / Kate Craddock Field","KBMQ"
"Burnett County","KRZN"
"Burnett Landing","WN15"
"Burnham Field","6CO1"
"Burnie Airport","YWYY"
"Burns Aerodrome","AR17"
"Burns Lake","CYPZ"
"Burns Mun","KBNO"
"Burnt Chimney","70VA"
"Burnt Ridge Airstrip","WN74"
"Burntwood Ranch","FL43"
"Burress","XS30"
"Burris Ranch","2TE6"
"Burris Ranch Nr 1","55NM"
"Bursch Private","4KS8"
"Burwash","CYDB"
"Busan Aero","RKPP"
"Busboom RLA Restricted Landing Area","0LL5"
"Busch Creek","AA09"
"Bush","6VA9"
"Bush Field","MN57"
"Bush Field Airport","KAGS"
"Bushby RLA Restricted Landing Area","87IL"
"Bushehr Airport","OIBB"
"Busselton Airport","YBLN"
"Bussen","6KS4"
"Buta Zega","FZKJ"
"Butachauques","SCIB"
"Butare","HRYI"
"Butaritari Atoll Airport","NGTU"
"Butler Airpark","4KS7"
"Butler Aviation","6AK3"
"Butler Co Regl","KHAO"
"Butler Farm Show","3G9"
"Butler Field","5WA2"
"Butler Field","IN46"
"Butler Meml","KBUM"
"Butler Municipal","6A1"
"Butler/Choctaw County","09A"
"Butte Municipal","AK1"
"Butte Valley","A32"
"Butter Valley Golf Port","7N8"
"Button","SN67"
"Butuan Airport","RPME"
"Buzzard Creek Airstrip","2TX9"
"Buzzard's Roost","76KY"
"Buzzards Roost","1WI7"
"Buzzards Roost","O18"
"Buzzport","92ME"
"Buzzy Field","1WI3"
"Buzzy's Field","ME89"
"Búðardalur","BIBR"
"Bybee Field","97OG"
"Bydgoszcz Ignacy Jan Paderewski Airport","EPBY"
"Byerley","0M8"
"Byholma Air Base","ESFY"
"Bykovo","UUBB"
"Byram Ranch","63XS"
"Byrd Air Field","5FL4"
"Byrd Creek","46VA"
"Byrd Field","SC48"
"Byrds Backcountry Airstrip","51AR"
"Byrne Field","0IN5"
"Byron","C83"
"Byron Gateway Airport","YBNA"
"C & W Air Park","1GE2"
"C & W Milliron Flying Field","PN13"
"C A M P","8NE9"
"C D Maulding","LL32"
"C E 'Rusty' Williams","3F3"
"C F C Aviation Ranch","XS12"
"C Jeidy Farms","WI56"
"C&R Farm","78GA"
"C. A. Moore","19M"
"C. David Campbell Field","KCRS"
"C. R. Acres","2WS3"
"C. V.","II43"
"C.E.F.","MU02"
"C.T.S.","78AK"
"Ca Mau Airport","VVCM"
"Caas","NV98"
"Caballococha","SPBC"
"Cabin Creek Landing","97MT"
"Cabin Creek US Forest Service","I08"
"Cabinda Airport","FNCA"
"Cable","KCCB"
"Cable Creek Ranch","96OR"
"Cable Union","3CU"
"Cabo de Velas","MRCV"
"Cabo F.A.A. H. R. Bordón","SAVJ"
"Cabo Frio Airport","SBCB"
"Cabo Juan Roman","SCAS"
"Cabo Rojo","MDCR"
"Cabo San Lucas Intl","MMSL"
"Cabool Meml","KTVB"
"Caboolture","YCAB"
"Cabrito","98TS"
"Cacador","SBCD"
"Caceres","SWKC"
"Cache Creek Usfs","OR62"
"Cache Creek-Ashcroft Regional","CAZ5"
"Cachoeiro Itapemirim","SNKI"
"Cacic","WI19"
"Cackleberry","2E8"
"Cacoal Airport","SSKW"
"Cacule","SDLK"
"Caddo Mills Municipal","7F3"
"Cadiz Airstrip","CA90"
"Cady Aerial RLA Restricted Landing Area","0IS3"
"Caen - Carpiquet Airport","LFRK"
"Caernarfon","EGCK"
"Caetite","SNIE"
"Cafunfo","FNCF"
"Cagayan De Sulu","RPMU"
"Cagayan North Intl Airport","RPLH"
"Cage Ranch","7TE2"
"Cagliari Elmas Airport","LIEE"
"Cagney","51G"
"Cahul Intl","LUCH"
"Caicara De Orinoco","SVCD"
"Caico","SNKK"
"Caiguna","YCAG"
"Cain","T28"
"Cain Field","38C"
"Cain Ranch","28MT"
"Caintuckee","8KY6"
"Caiolo","LILO"
"Cairns Airport","YBCS"
"Cairo International Airport","HECA"
"Cairo Regl","KCIR"
"Cairo-Grady County","70J"
"Cajamarca Airport","SPJR"
"Cakrabhuwana","WICD"
"Cal Black Memorial","U96"
"Calabar Airport","DNCA"
"Calabozo","SVCL"
"Calais Dunkerque","LFAC"
"Calapan Natl","RPUK"
"Calaveras Co Rasmussen","KCPU"
"Calaway","TS08"
"Calbayog Airport","RPVC"
"Caldas Novas Airport","SBCN"
"Caldbeck Field","7MN3"
"Caldera","SCCL"
"Caldwell Field","54II"
"Caldwell Industrial","KEUL"
"Caldwell Mun","KRWV"
"Caldwell Municipal","01K"
"Caldwell Parish","F86"
"Caledonia Co","KCDA"
"Calexico Intl","KCXL"
"Calgary / Okotoks Air Park","CFX2"
"Calgary International Airport","CYYC"
"Calhan","5V4"
"Calhoun County","04M"
"Calhoun County","F95"
"Calhoun County","KPKV"
"Calico Field","SD03"
"Calico Rock-Izard County","37T"
"Calicut International Airport","VOCL"
"California City Municipal","L71"
"California Pines","A24"
"Calkins Field","41C"
"Callaghan Ranch","90TX"
"Callaway Airpark","SN33"
"Calonne","LFQT"
"Caloundra","YCDR"
"Calusa Ranch","FL77"
"Calvada Meadows","74P"
"Calverton Executive Airpark","3NY8"
"Calvi ""Sainte Catherine"" Airport","LFKC"
"Calvinia","FACV"
"Cam Ranh International Airport","VVCR"
"Camanche Skypark","CA19"
"Camano Island Airfield","13W"
"Camarillo","KCMA"
"Camas County","U86"
"Camas Creek Ranch","40ID"
"Camatta Ranch Airstrip","74CN"
"Camaxilo","FNCX"
"Cambridge","YCBG"
"Cambridge / Reid's Field","CPE4"
"Cambridge Airport","EGSC"
"Cambridge Bay Airport","CYCB"
"Cambridge Dorchester","KCGE"
"Cambridge Mun","KCBG"
"Cambridge Mun","KCDI"
"Cambridge Mun","KCSB"
"Camco Ranch","NM52"
"Camden","YSCN"
"Camden County","19N"
"Camden Municipal","61A"
"Camdenton Meml Lake Regl","KOZS"
"Cameron Field","GA81"
"Cameron Meml","KEZZ"
"Cameron Municipal Airpark","T35"
"Cameron Park","O61"
"Cameron Ranch","TE97"
"Cameron's","MN47"
"Camfield","YCFD"
"Camilla-Mitchell County","KCXU"
"Camilo Daza Airport","SKCC"
"Camino Airstrip","CL29"
"Camiri","SLCA"
"Camocim","SNWC"
"Camooweal","YCMW"
"Camp Capinpin","RPLM"
"Camp Crook Municipal","8OA5"
"Camp Guernsey","KGUR"
"Camp Lake","49C"
"Camp Longhorn","84TX"
"Camp Nifty Airport","YCNF"
"Campbell","C81"
"Campbell","KMBO"
"Campbell Airbase","KHOP"
"Campbell Airstrip","CSR"
"Campbell Co","KJAU"
"Campbell Field","06XS"
"Campbell Field","44IN"
"Campbell Field","85NK"
"Campbell Field","9VG"
"Campbell Municipal","34M"
"Campbell Ranch","MT88"
"Campbell River Airport","CYBL"
"Campbell-Pratt","Y65"
"Campbells","CO41"
"Campbeltown Airport","EGEC"
"Campeche International Airport","MMCP"
"Campo Alegre De Lourdes","SSRK"
"Campo Belo","SNCA"
"Campo De Marte","SBMT"
"Campo Do Meio","SNCE"
"Campo Grande International Airport","SBCG"
"Campo Mourao","SSKM"
"Campo Novo","SSKN"
"Campos Belos","SWCB"
"Campos Sales","SNCS"
"Camrose","CEQ3"
"Can Tho International Airport","VVCT"
"Canaan Air Base","NC20"
"Canaan Field","NK12"
"Canadian Lakes","0C5"
"Canadian River Corrientes","OK10"
"Canadian River Ranch","46XS"
"Canaima","SVCN"
"Canakkale Airport","LTBH"
"Canal Bajo Airport","SCJO"
"Canal Fulton","7OH2"
"Canandaigua","KIUA"
"Cananea","MMCA"
"Canapitsit","15MA"
"Canarana","SWEK"
"Canary's","20IN"
"Canavieiras","SNED"
"Canberra Airport","YSCB"
"Cancún International Airport","MMUN"
"Candala","HCMC"
"Candelaria","XA95"
"Candillargues","LFNG"
"Candiota","SSIO"
"Candle 2","AK75"
"Candlelight Farms","11N"
"Cando Municipal","9D7"
"Candy Lake Estate","98OK"
"Cane Creek","4NC6"
"Canefield Airport","TDCF"
"Canela","SSCN"
"Cangapara","SNQG"
"Cannizzaro Field","28MA"
"Cannon Creek Airpark","15FL"
"Cannon Field","53T"
"Canobie","YCBE"
"Canouan Airport","TVSC"
"Canteen Creek Airport","YCCK"
"Canton Afld","PCIS"
"Canton Municipal","7G9"
"Canton-Hackney","7F5"
"Canton-Plymouth-Mettetal","1D2"
"Cantrell Farms","AR06"
"Cantwell","PATW"
"Canyon","ID04"
"Canyon Ferry","8U9"
"Canyon Lake","34TS"
"Canyon Ranch","TE37"
"Canyonlands Field","KCNY"
"Caojiabao Airport","ZLXN"
"Cap Alex H Bosquez","MPCL"
"Cap D Jose D Vasquez","SAWJ"
"Cap Haitien Airport","MTCH"
"Cap Justiniano Montanegro","MPPD"
"Cap Krish E Persaud","MPCM"
"Cap Pam Walter Gwynn","SGOV"
"Cap Scarlet R Martinez L Intl","MPSM"
"Cap Skirring Airport","GOGS"
"Capanda","FNCP"
"Capao Bonito","SDCA"
"Cape Barren Island","YCBN"
"Cape Blanco State","5S6"
"Cape Cod","2B1"
"Cape Dorset Airport","CYTE"
"Cape Fear Regl Jetport Howie F","KSUT"
"Cape Girardeau Regional Airport","KCGI"
"Cape Lisburne LRRS Airport","PALU"
"Cape May County","KWWD"
"Cape Newenham LRRS","PAEH"
"Cape Palmas","GLCP"
"Cape Preston","YCPR"
"Cape Romanzof LRRS","PACZ"
"Cape Sarichef","PACS"
"Cape Town International Airport","FACT"
"Cape Winelands","FAWN"
"Capen","2MI9"
"Capital City","KCXY"
"Capital City","KFFT"
"Capital Intl","HECP"
"Capital Region International Airport","KLAN"
"Capitan Anibal Arab Airport","SLCO"
"Capitán Av. German Quiroga G.","SLSB"
"Capitán Av. Juan Cochamanidis S.","SLSI"
"Capitán Av. Vidal Villagomez Toledo","SLVG"
"Capitan D Omar Dario Gellardi","SACA"
"Capitol","02C"
"Capozzoli","6LA2"
"Capt Ben Smith - Monroe City","K52"
"Capt Davis","KCGC"
"Capt Joao Busse","SSAP"
"Capt Thomas El Dorado","KEQA"
"Captain Ramon Xatruch","MPLP"
"Captain Rolden Airport","SPCL"
"Capua","LIAU"
"Capure Delta Amacuro Natl","SVPE"
"Capurganá","SKCA"
"Car Nicobar","VOCX"
"Caracarai","SWQI"
"Carajas Airport","SBCJ"
"Caransebes","LRCS"
"Carauari","SWCA"
"Caravelas","SBCV"
"Carazinho","SSKZ"
"Carbon Co Regl Davis","KPUC"
"Carcioppolo Field","OH97"
"Card Airfield","4XA2"
"Cardiff Airport","EGFF"
"Cardinal Field","XS95"
"Cardinal Ridge","WI24"
"Cardston","CEA6"
"Cardwell Strip","34AK"
"Carey","TN56"
"Carey","U65"
"Carey Field","4MD3"
"Caribou","2OK9"
"Caribou Mun","KCAR"
"Carimagua","SKCI"
"Carinhanha","SNNH"
"Carl Ensor","61MO"
"Carl Folsom","14J"
"Carl's","MI70"
"Carl's Landing","AK19"
"Carlin Bay","ID43"
"Carlisle","N94"
"Carlisle Lake District Airport","EGNC"
"Carlisle Municipal","4M3"
"Carlos Concha Torres International Airport","SETN"
"Carlos Manuel De Cespedes Airport","MUBY"
"Carlos Miguel Gimenez","SGPI"
"Carlos Prates","SBPR"
"Carlos Rovirosa Perez International Airport","MMVA"
"Carls","78MI"
"Carlson","4WI5"
"Carlson","9WI9"
"Carlson Agricultural","1MY1"
"Carlson RLA Restricted Landing Area","IS19"
"Carlton Landing Field","91F"
"Carlyle","CJQ3"
"Carmelita","MGCR"
"Carmelo International","SUCM"
"Carmi Mun","KCUL"
"Carnarvon","FACN"
"Carnarvon Airport","YCAR"
"Carnegie Municipal","86F"
"Carnot","FEFC"
"Carnot Field","3WI0"
"Carolina Bay","NR82"
"Carora","SVCO"
"Carosue Dam","YSCD"
"Carp Farms","6MU5"
"Carpenter","0GE7"
"Carpentiers Strip","64AK"
"Carpentras","LFNH"
"Carr","6WA6"
"Carr","72KY"
"Carr","WV65"
"Carr Creek","93MO"
"Carr Field","IA59"
"Carrabelle-Thompson","X13"
"Carranza Farm Airstrip","5AZ7"
"Carrar Farm","7PA6"
"Carrasco International Airport","SUMU"
"Carriel Sur Airport","SCIE"
"Carriers Skypark","VT31"
"Carrington Municipal","46D"
"Carrizozo Municipal","F37"
"Carroll","KJKL"
"Carroll Co Regl Poage","KDMW"
"Carroll Co Tolson","KTSO"
"Carroll County","4M1"
"Carroll County","KHZD"
"Carroll's Airpark","IN56"
"Carrollton Memorial","K26"
"Carson","KCXP"
"Carson Field","MT53"
"Carsonville","0PS3"
"Carter","92C"
"Carter","FL57"
"Carter Ranch","89TS"
"Carter-Norman","TA87"
"Cartersville","05KY"
"Cartersville","KVPC"
"Carthage-Leake County","08M"
"Cartwright","CYCA"
"Carty's Airstrip","8AK2"
"Caruaru","SNRU"
"Carurú","SKCR"
"Caruthersville Memorial","M05"
"Casa De Aero Park","68IS"
"Casa Grande Mun","KCGZ"
"Casa Nova","SDFX"
"Casad Industrial Park","56IN"
"Casarrubios Del Monte","LEMT"
"Casas Adobes Airpark","NM69"
"Casas De Los Pinos","LEPI"
"Cascade","KU70"
"Cascade","U70"
"Cascade Field","3MT7"
"Cascade Locks State","KCZK"
"Cascavel Airport","SBCA"
"Casey Field","TE06"
"Casey Municipal","1H8"
"Cashmere-Dryden","8S2"
"Casigua El Cubo","SVCG"
"Casino","YCAS"
"Casique Aramare Amazonas","SVPA"
"Caslav","LKCV"
"Casper Airport","KCPR"
"Cassagnes Begonhes","LFIG"
"Casselton Robert Miller Regional","5N8"
"Cassidy International Airport","PLCH"
"Cassilandia","SSCL"
"Casslindan","2ND3"
"Cassville Municipal","94K"
"Cassville Municipal","C74"
"Castellon De La Plana Airport","LECH"
"Castelo Branco","LPCB"
"Castiglion Fiorentino","LIQQ"
"Castille Field","LA16"
"Castle","KMER"
"Castle Lakes","CD32"
"Castle Mountain Airstrip","48AK"
"Castle Well","0AZ5"
"Castlebar","EICB"
"Castleberry","MT45"
"Castlebridge","EICD"
"Castor","CER2"
"Castres-Mazamet Airport","LFCK"
"Castro","SSQT"
"Castro Alves","SSRF"
"Castroville Mun","KCVB"
"Caswell","6W4"
"Cat Bi International Airport","VVCI"
"Cat Cay","MYCC"
"Cat Lake Airport","CYAC"
"Catacamas","MHCA"
"Catalano Airfield","1NK6"
"Catalao","SWKT"
"Catalina","KAVX"
"Catamount Airfield","VT62"
"Catanduva","SDCD"
"Cataney","PN62"
"Catania Fontanarossa International Airport","LICC"
"Cataratas del Iguazu International Airport","SARI"
"Catarman National Airport","RPVF"
"Catawba Valley","VA10"
"Catbalogan","RPVY"
"Catfish Point","0MS8"
"Catlett Farms","9AR1"
"Catoctin Crosswind","4MD7"
"Catole Do Rocha","SIBU"
"Catskill Valley Airpark","2NY0"
"Cattaraugus Co Olean","KOLE"
"Cattle Creek Ranch","50FD"
"Catumbela Airport","FNCT"
"Cauayan Airport","RPUY"
"Cauley's Airstrip","3GA8"
"Cauquira","MHCU"
"Cavalier Municipal","2C8"
"Cavanaugh","NE29"
"Cavanaugh Bay","66S"
"Cavern City Air Terminal","KCNM"
"Caviahue","SAHE"
"Cavok Ranch","UT90"
"Cawleys South Prairie","02WA"
"Caxambu","SNXB"
"Caxias Do Sul Airport","SBCX"
"Cayana Airstrip","SMCA"
"Cayenne ""Félix Eboué"" Airport","SOCA"
"Cayley A J Flying Ranch","CAJ7"
"Cayo Largo Del Sur Airport","MUCL"
"Cayuse Creek /US Forest Service","C64"
"Cazombo","FNCZ"
"Ccc","MO27"
"CCR Field","UT27"
"CD-3 Airstrip","AK20"
"Cecil","KVQQ"
"Cedar & Sky Fly In Ranch","OL28"
"Cedar Acres Private Group","23PA"
"Cedar Air Park","51K"
"Cedar City Airport","KCDC"
"Cedar Creek","2OH4"
"Cedar Creek","MO74"
"Cedar Creek Air Ranch","MS26"
"Cedar Creek Ranch","25AR"
"Cedar Creek Ranch","96WY"
"Cedar Crest Field","1TN0"
"Cedar Farm","28II"
"Cedar Glade Aerodrome","TN83"
"Cedar Island","WI10"
"Cedar Knoll Flying Ranch","01FL"
"Cedar Mills","3T0"
"Cedar Ridge","9IS0"
"Cedar Ridge","GA62"
"Cedar Run","PN01"
"Cedar Valley","UT10"
"Cedars North Airpark","W58"
"Cedarville","MI18"
"Cedarville","O59"
"Ceduna Airport","YCDU"
"Celaya","MMCY"
"Cemovsko","LYPO"
"Cenej","LYNS"
"Cengiz Topel Airport","LTBQ"
"Centennial","KAPA"
"Center Creek Field","NE12"
"Center Field","93TN"
"Center Island","78WA"
"Center Municipal","F17"
"Centerville Airstrip","AR03"
"Centerville Mun","KGHM"
"Centerville Mun","KTVK"
"Central Airport","PACE"
"Central City Municipal - Larry Reineke Field","07K"
"Central Colorado Regl","KAEJ"
"Central County","68C"
"Central Farmers Coop","LA25"
"Central Illinois Regional Airport","KBMI"
"Central Industries","2LA0"
"Central Jersey Regional","47N"
"Central Kentucky Regl","KRGA"
"Central Maine Apt Of Norridgew","KOWK"
"Central Nebraska Regional Airport","KGRI"
"Central Valley Aviation","NA81"
"Central Valley Aviation Inc","CA40"
"Central Wisconsin Airport","KCWA"
"Centralia Mun","KENL"
"Centre Airpark","N16"
"Centre-Piedmont-Cherokee Count","KPYP"
"Cepin","LDOC"
"Cepu","WARC"
"Ceres","SANW"
"Ceres","SWCZ"
"Cerklje Ob Krki","LJCE"
"Cerny","71OR"
"Cerny-La Ferte Alais","LLFQ"
"Cerrione","LILE"
"Cerro Largo Intl","SUMO"
"Cesar Lim Rodriguez","RPSD"
"Cesária Évora Airport","GVSV"
"Ceske Budejovice","LKCS"
"Cessna Aircraft","KCEA"
"Cessnock","YCNK"
"Cevennes","LFMS"
"Ceyzeriat","LFHS"
"Cha Ian","VTSN"
"Chabelley","HDCH"
"Chabeuil","LFLU"
"Chabua","VECA"
"Chacalluta Airport","SCAR"
"Chacara Municipal","SWLY"
"Chacarita","MRCH"
"Chachapoyas","SPPY"
"Chachoan","SEAM"
"Chacon Creek Ranch","3TA9"
"Chadron Municipal Airport","KCDR"
"Chadwick","OR27"
"Chah-Bahar Airport","OIZC"
"Chaika","UKKJ"
"Chain-O-Lakes","3IN7"
"Chakcharan Airport","OACC"
"Chakulia","VECK"
"Chalet Suzanne Air Strip","X25"
"Chalfant","NC77"
"Chalgrove","EGLJ"
"Chalkyitsik Airport","PACI"
"Challanges","LFGF"
"Challes Les Eaux","LFLE"
"Challis","KLLJ"
"Châlons Ecury Sur Coole","LFQK"
"Chalons Vatry Airport","LFOK"
"Chamberlain","OR60"
"Chamberlain Brothers Ranch","WY66"
"Chamberlain Municipal","9V9"
"Chamberlain Usfs","U79"
"Chambers","45PN"
"Chambers County","T00"
"Chambers County/Winnie Stowell","T90"
"Chambers Island","30WI"
"Chambery Airport","LFLB"
"Chambley","LFJY"
"Chamical","SACT"
"Chamonate Airport","SCHA"
"Champ Field","6PS3"
"Champforgeuil","LFLH"
"Champion Ranch","01NM"
"Chan-C","5TS2"
"Chanaral","SCRA"
"Chanay","40KS"
"Chandalar Lake","PALR"
"Chandalar Shelf","5CD"
"Chandelle","SC72"
"Chandelle Estates","0N4"
"Chandigarh Airport","VICG"
"Chandler","9LA6"
"Chandler Field","3MD9"
"Chandler Field","KAXN"
"Chandler Mun","KCHD"
"Chandler Ranch","3TA1"
"Chandler Regl","KCQB"
"Chaney San Francisco Ranch","92TE"
"Chang'an Airport","ZYBA"
"Changbaishan Airport","ZYBS"
"Changchun Longjia International Airport","ZYCC"
"Changde Taohuayuan Airport","ZGCD"
"Changhai","ZYCH"
"Changsha Huanghua International Airport","ZGHA"
"Changuinola Airport","MPCH"
"Changzhi Airport","ZBCZ"
"Changzhou Benniu Airport","ZSCG"
"Chania “Ioannis Daskalogiannis” Airport","LGSA"
"Chanlin Field","5MN9"
"Chanmyathazi","VYCZ"
"Chanute Martin Johnson","KCNU"
"Chaoshan Airport","ZGOW"
"Chaoyang Airport","ZYCY"
"Chapadao Do Sul","SSCD"
"Chaparral","CO18"
"Chaparrosa Ranch","72TE"
"Chapeco Airport","SBCH"
"Chapelco Airport","SAZY"
"Chapin Field","1B8"
"Chapleau","CYLD"
"Chapman","OAKS"
"Chapman Farms","67CA"
"Chapman Field","CD10"
"Chapman Memorial Field","6CM"
"Chapman Ranch Airstrip","58AZ"
"Chappell","0OK5"
"Charif Al Idrissi Airport","GMTA"
"Chariton Mun","KCNC"
"Charles A. Chase Jr. Memorial Field","44B"
"Charles B. Wheeler Downtown Airport","KMKC"
"Charles C Killough Field","8AL2"
"Charles E Grutzmacher Municipal","52K"
"Charles Field","NC22"
"Charles G. Kalko","7PA3"
"Charles M. Schulz Sonoma County Airport","KSTS"
"Charles Prince","FVCP"
"Charles W. Baker","2M8"
"Charleston Executive","KJZI"
"Charleston International Airport","KCHS"
"Charleston Municipal","09M"
"Charleville Airport","YBCV"
"Charleville-Mezieres","LFQV"
"Charlevoix","2UT5"
"Charlevoix","CYML"
"Charlevoix Mun","KCVX"
"Charlo Airport","CYCL"
"Charloe","53OH"
"Charlotte Douglas International Airport","KCLT"
"Charlotte's Field","53FD"
"Charlotte-Monroe Executive","KEQY"
"Charlottesville-Albemarle Airport","KCHO"
"Charlottetown Airport","CYYG"
"Charlton Strip","05FL"
"Charnay","LFLM"
"Charping","5TA1"
"Charters Towers","YCHT"
"Chase Airstrip","6NA5"
"Chase City Mun","KCXE"
"Chase County","9K0"
"Chase Field","58NR"
"Chase Field Industrial","TX2"
"Château-Arnoux-Saint-Auban","LFMX"
"Chateauroux Airport","LFLX"
"Chatham Islands / Tuuta Airport","NZCI"
"Chatham Kent","CYCK"
"Chatham Mun","KCQX"
"Chattahoochee Air Park","4GA6"
"Chattanooga Metropolitan Airport","KCHA"
"Chattanooga Sky Harbor","92F"
"Chautauqua Co Dunkirk","KDKK"
"Chautauqua County Airport","KJHW"
"Chautauqua Lake Airpark","65NY"
"Chavenay Villepreux","LFPX"
"Chaves","LPCH"
"Cheb","LKCB"
"Cheboksary Airport","UWKS"
"Cheboygan Co","KSLH"
"Cheddi Jagan International Airport","SYCJ"
"Chefornak Sea Plane Base","PACK"
"Chehalem Airpark","17S"
"Chehalis-Centralia","KCLS"
"Chelinda Malawi","FWCD"
"Chelles Le Pin Airport","LFPH"
"Chelyabinsk Airport","USCC"
"Chemehuevi Valley","49X"
"Chena Hot Springs","AK13"
"Chena Marina","AK28"
"Chenango Bridge","1NK8"
