"airport_name","icao_code"
"Agua Caliente","L54"
"Agua Dulce Airpark","L70"
"Agualeguas","MMAL"
"Aguas Claras","SKOC"
"Aguenar – Hadj Bey Akhamok Airport","DAAT"
"Aguni","RORA"
"Ahe Airport","NTHE"
"Ahlem Farms","CL84"
"Ahlers Acres","66MO"
"Ahmosuo","EFAH"
"Ahrenlohe","EDHO"
"Ahuas","MHAH"
"Ahwaz Airport","OIAW"
"Aiken Field","85GA"
"Aiken Mun","KAIK"
"Aileron Orchards","AZ49"
"Ain El Beida Airport","DAUU"
"Ainsworth","06TE"
"Ainsworth Regl","KANW"
"Aiome","AYAO"
"Aioun El Atrouss","GQNA"
"Air Acres","5GA4"
"Air Castle","52KY"
"Air Cover","67MU"
"Air Dusters Inc","49CO"
"Air Estates Inc","LL09"
"Air Harbor","W88"
"Air Haven","6PA6"
"Air Park Field","0IN4"
"Air Park North","MI30"
"Air Park-Dallas","F69"
"Air Port Hudson","MU83"
"Air Rahe","4MI1"
"Air Troy Estates - Restricted","WI69"
"Airbatco Field","44MI"
"Airdrie","CEF4"
"Aire Parque","42MO"
"Aire Sur L Adour","LFDA"
"Airglades","2IS"
"Airglades Airport","K2IS"
"Airhaven","09N"
"Airkat Airpark","9AA9"
"Airlake","KLVN"
"Airlane Enterprises","1H1"
"Airlie","2VA9"
"Airman Acres","OK93"
"Airnautique, Inc.","0GA2"
"Airpark East","1F7"
"Airway","5AK3"
"Airwolfe","6WN5"
"Airy-Acres","6NY3"
"Aishalton","SYAH"
"Aitape","AYAI"
"Aitkin Mun Kurtz","KAIT"
"Aitutaki Airport","NCAI"
"Aiyura","AYAY"
"Aizawl Airport","VELP"
"Aizwal","VEAZ"
"Ajaccio Napoleon Bonaparte Airport","LFKJ"
"Ajax","OR46"
"Ajc","CO66"
"Ak Chin Community Airfield","41AZ"
"AK-10 Airstrip","AK10"
"Ak-Chin Regional","A39"
"Aketi","FZKN"
"Akhiok Airport","PAKH"
"Akiachak","PFZK"
"Akiak Airport","PFAK"
"Akin","54CN"
"Akin and Akin","NM73"
"Akita Airport","RJSK"
"Akjoujt","GQNJ"
"Aklavik Airport","CYKD"
"Akm Airfield","PN54"
"Aknux","NE38"
"Akola","VAAK"
"Akpaka","DXAK"
"Akron","9G3"
"Akron Fulton Intl","KAKR"
"Akron-Canton  Airport","KCAK"
"Akroville","3TX"
"Aktau Airport","UATE"
"Aktion Airport","LGPZ"
"Aktobe Airport","UATT"
"Akulivik Airport","CYKO"
"Akure Airport","DNAK"
"Akutan","PAUT"
"Akwa Ibom International Airport","DNAI"
"Al Abraq International Airport","HLLQ"
"Al Ain Airport","OMAL"
"Al Alamain Intl","HEAL"
"Al Badie","OYBA"
"Al Bateen Executive","OMAD"
"Al Divine","65CL"
"Al Ghaidah Intl","OYGD"
"Al Iskandarariyah","ORAI"
"Al Jazeirah","OMRJ"
"Al Khor","OTBK"
"Al Maktoum International Airport","OMDW"
"Al Meyers","3TE"
"Al Najaf International Airport","ORNI"
"Al Saqr Field","OMRS"
"Al Taji Airfield","ORTI"
"Al Taqaddum","ORAT"
"Al's Airway","WS74"
"Al's Due North","MY90"
"Al's Field","48VA"
"Al-Aqiq Airport","OEBA"
"Al-Bough","OYBQ"
"Al-Hazm","OYZM"
"Ala Doble","CA34"
"Alabat","RPLY"
"Alagoinhas","SDUO"
"Alahsa Airport","OEAH"
"Alakanuk Airport","PAUK"
"Alamo Landing Field","L92"
"Alamogordo-White Sands Rgnl","KALM"
"Álamos","MM45"
"Alamosa Outpost","CO14"
"Alan B. Janssen","4LL9"
"Alan's","SC07"
"Alashanzuoqi Airport","ZBAL"
"Alaska Airpark","AK01"
"Alavus","EFAL"
"Albacete","LEAB"
"Albano Machado Airport","FNHU"
"Albany","54W"
"Albany Airport","YABA"
"Albany International Airport","KALB"
"Albany Municipal","K19"
"Albany Municipal","S12"
"Albany Municipal","T23"
"Alberni Valley Regional","CBS8"
"Albers","SN13"
"Albert","1N3"
"Albert Farms","MA88"
"Albert J Ellis Airport","KOAJ"
"Albert J Lindberg","5Y1"
"Albert Lea Mun","KAEL"
"Albert S Nader Regional","N66"
"Alberter Farms","PS52"
"Alberto Carnevalli","SVMD"
"Alberto Delgado","MUTD"
"Alberto Lleras Camargo","SKSO"
"Albertus","KFEP"
"Albertville Regional/Thomas J Brumlik Field","8A0"
"Albia Municipal","4C8"
"Albina","SMBN"
"Albion Mun","KBVN"
"Albrecht Airstrip","MD48"
"Albright","SN78"
"Albritton","9WA7"
"Albrook ""Marcos A. Gelabert"" International Airport","MPMG"
"Albuquerque International Sunport","KABQ"
"Albury Airport","YMAY"
"Alcantarí International Airport","SLAL"
"Alcides Fernández","SKAD"
"Alcoota Station Airport","YALC"
"Alcovy","07GA"
"Aldan Airport","UEEA"
"Alderman","2P7"
"Alderney Airport","EGJA"
"Alderson","08KS"
"Aldinga","YADG"
"Alejandro Velasco Astete Airport","SPZO"
"Aleknagik / New","5A8"
"Aleknagik Mission Lodge","4AK7"
"Aleppo Intl","OSAP"
"Alert Bay","CYAL"
"Alert Field","18TE"
"Alerta","SPAR"
"Ålesund Airport, Vigra","ENAL"
"Alexander Bay","FAAB"
"Alexander County","NC59"
"Alexander Farm","NY82"
"Alexander Fld South Wood Co","KISW"
"Alexander Ranch","5TE3"
"Alexander Salamon","KAMT"
"Alexandra","NZLX"
"Alexandria","I99"
"Alexandria","N85"
"Alexandria Esler Regl","KESF"
"Alexandria Homestead","YALX"
"Alexandria International Airport","KAEX"
"Alexandria Intl","HEAX"
"Alfenas","SNFE"
"Alferez Armando Rodriguez","SATK"
"Alfonso B. Aragon Airport","SKCL"
"Alford Airpark","IN03"
"Alfred C 'Bubba' Thomas","T69"
"Alfred Schroeder Field","M66"
"Alghero Airport","LIEA"
"Algodor","LETG"
"Algona Mun","KAXA"
"Alhama De Murcia","LELH"
"Ali Al Salem Ab","OKAS"
"Ali Base","ORTL"
"Ali-Sabieh","HDAS"
"Alicante-Elche Airport","LEAL"
"Alice Intl","KALI"
"Alice Springs Airport","YBAS"
"Alimentos Dallas","SJXJ"
"Alindao","FEFA"
"Alison Air Park","7TS2"
"Alkali Lake State","R03"
"Alkersleben","EDBA"
"All West","AK77"
"Allah Valley","RPMA"
"Allahabad Airport / Bamrauli Airport","VEAB"
"Allakaket Airport","PFAL"
"Allama Iqbal International Airport","OPLA"
"Allegheny County","KAGC"
"Allen","8OI3"
"Allen Airstrip","3NJ9"
"Allen County","K88"
"Allen H Tigert","U78"
"Allen Parish","KACP"
"Allen St Peter Memorial","ME05"
"Allen's Airstrip","85OR"
"Allendale Co","KAQX"
"Allendorf Eder","EDFQ"
"Allentown Queen City Mun","KXLL"
"Alley Field","60KS"
"Alley Oop","68IN"
"Alliance","23NJ"
"Alliance","OH48"
"Alliance Municipal Airport","KAIA"
"Allison Farm","XA34"
"Allison Municipal","K98"
"Allison Ranch","4TS7"
"Allstedt","EDBT"
"Alma","87FL"
"Alma","CYTF"
"Alma Municipal","4D9"
"Almaty International Airport","UAAA"
"Almena","2C5"
"Almeria Airport","LEAM"
"Almirante Cristobal Colon","SVGI"
"Almyra Municipal","M73"
"Along","VEAN"
"Alor Island Airport","WATM"
"Alpena County Regional Airport","KAPN"
"Alpha","YAPH"
"Alpha Hotel","07VA"
"Alpha Hotel","WS81"
"Alpha Whisky Airstrip","TA27"
"Alpine","46U"
"Alpine Airstrip","PALP"
"Alpine County","M45"
"Alpine Range","00TS"
"Alpine-Casparis Municipal","E38"
"Als","NR40"
"Alsek River","A57"
"Alta Airport","ENAT"
"Alta Floresta Airport","SBAT"
"Alta Mesa Airpark","3CN7"
"Alta Sierra","09CL"
"Altai Airport","ZMAT"
"Altamira Airport","SBHT"
"Altay Airport","KAAT"
"Altay Airport","ZWAT"
"Alto Palena","SCAP"
"Alto Paraiso","SDXF"
"Alto Parnaíba","SNAI"
"Alton Downs","YADS"
"Altona Municipal","CJL6"
"Altoona-Blair County Airport","KAOO"
"Altus Quartz Mountain Regl","KAXS"
"Alula Airport","HCMA"
"Alum Ridge STOLport","09VA"
"Alva Regl","KAVK"
"álvaro Gama Heliport","SJCC"
"Alvie Cole Ranch","TS95"
"Alvin Airpark","6R5"
"Alxa Right Banner Badanjilin Airport","ZBAR"
"Alykel Airport","UOOO"
"Alzate Brianza","LILB"
"Alzitone","LFKG"
"Am Timan","FTTN"
"Amable Calle Gutierrez","SEPS"
"Amacher Strip","TN39"
"Amahai","WAPA"
"Amakusa Airport","RJDA"
"Amal V12","HLAM"
"Amalfi","SKAM"
"Amami O Shima Airport","RJKA"
"Amana","C11"
"Amanab","AYAM"
"Amanda","OH61"
"Amapa","SBAM"
"Amar Farms","4KS1"
"Amarais","SDAM"
"Amargosa","70CL"
"Amasya Merzifon Airport","LTAP"
"Amata","YAMT"
"Amata Kabua International Airport","PKMJ"
"Amausi Airport","VILK"
"Ambala","VIAM"
"Ambalabe","FMNW"
"Ambanja","FMNJ"
"Ambatondrazaka","FMMZ"
